institution_name,pays,type_financement
International Waldenstrom's Macroglobulinemia Foundation,United States,1
Internationale Stichting Alzheimer Onderzoek,Netherlands,1
Interreg,European Union,2
Interreg North-West Europe,European Union,2
Interreg Vlaanderen-Nederland,European Union,2
Intesa Sanpaolo Innovation Center,Italy,1
Intuitive Foundation,United States,1
Intuitive Surgical,United States,1
Inventiva Pharma,France,1
Invitae,United States,1
Inyuvesi Yakwazulu-Natali,South Africa,0
Ioffe Institute,Russia,0
Ionis Pharmaceuticals,United States,1
Iowa Department of Natural Resources,United States,0
Iowa Energy Center,United States,0
Iowa Pork Producers Association,United States,1
Iowa Science Foundation,United States,0
Iowa Soybean Association,United States,1
Iowa State University,United States,0
Ipsen,France,1
Ipsen Biopharmaceuticals,United States,1
Ipsen Fund,France,1
Ira Sohn Research Conference Foundation,United States,1
Iran Nanotechnology Initiative Council,Iran,0
Iran National Science Foundation,Iran,0
Iran Science Elites Federation,Iran,0
Iran Telecommunication Research Center,Iran,0
Iran University of Medical Sciences,Iran,0
Iran University of Science and Technology,Iran,0
Iran's National Elites Foundation,Iran,0
Iranian Council of Stem Cell Research and Technology,Iran,0
Iranian National Institute for Oceanography and Atmospheric Science,Iran,0
Iris O'Brien Foundation,United States,1
Irish Aid,Ireland,0
Irish Cancer Society,Ireland,1
Irish Centre for High-End Computing,Ireland,0
Irish Institute of Clinical Neuroscience,Ireland,0
Irish Research Council,Ireland,0
"Irish Research Council for Science, Engineering and Technology",Ireland,0
Irma T. Hirschl Trust,United States,1
"Ironwood Pharmaceuticals, Incorporated",United States,1
"Irving and Cherna Moskowitz Center for Nano and Bio-nano Imaging, Weizmann Institute of Science",Israel,0
Isaac Newton Institute for Mathematical Sciences,United Kingdom,0
Isaac Newton Trust,United Kingdom,1
Isfahan University of Medical Sciences,Iran,0
Isfahan University of Technology,Iran,0
Islamic Azad University,Iran,0
Islamic Development Bank,Saudi Arabia,0
Israel Academy of Sciences and Humanities,Israel,0
Israel Cancer Association,Israel,1
Israel Cancer Association USA,United States,1
Israel Cancer Research Fund,United States,1
Israel Institute for Biological Research,Israel,0
Israel National Institute for Health Policy Research,Israel,0
Israel National Insurance Institute,Israel,0
Israel National Research Center for Electrochemical Propulsion,Israel,0
Israel National Road Safety Authority,Israel,0
Israel Science Foundation,Israel,0
Israeli Centers for Research Excellence,Israel,0
Istanbul Teknik Üniversitesi,Turkey,0
Istanbul Üniversitesi,Turkey,0
Istanbul Üniversitesi-Cerrahpasa,Turkey,0
Istituto Auxologico Italiano,Italy,0
Istituto Italiano di Tecnologia,Italy,2
"Istituto Nazionale di Alta Matematica ""Francesco Severi",Italy,0
Istituto Nazionale di Astrofisica,Italy,0
Istituto Nazionale di Fisica Nucleare,Italy,0
Istituto Nazionale di Fisica Nucleare Sezione di Padova,Italy,0
Istituto Nazionale di Geofisica e Vulcanologia,Italy,0
Istituto Nazionale di Ricerca Metrologica,Italy,0
Istituto Nazionale per l'Assicurazione Contro Gli Infortuni sul Lavoro,Italy,0
Istituto Oncologico Veneto,Italy,0
Istituto Ortopedico Rizzoli di Bologna,Italy,0
Istituto Pasteur-Fondazione Cenci Bolognetti,Italy,0
Istituto Superiore di Sanità,Italy,0
Istituto Toscano Tumori,Italy,0
Istituto di Ricerche Farmacologiche Mario Negri - IRCCS,Italy,0
Italfarmaco,Italy,1
"Italian Academy for Advanced Studies in America, Columbia University",United States,1
Ithaca College,United States,1
Itä-Suomen Yliopisto,Finland,0
Iwatani Naoji Foundation,Japan,1
Izglītības un zinātnes ministrija,Latvia,0
J. A. Woollam Foundation,United States,1
J. Willard and Alice S. Marriott Foundation,United States,1
JGW Patterson Foundation,United States,1
"JILA, University of Colorado",United States,0
JKA Foundation,Japan,1
JM Foundation,United States,1
JPB Foundation,United States,1
JPMorgan Chase and Company,United States,1
JS Watson Trust,United Kingdom,1
JST-Mirai Program,Japan,2
Jabbs Foundation,United Kingdom,1
Jack Kent Cooke Foundation,United States,1
Jackson Foundation,United States,1
"Jackson School of Geosciences, University of Texas at Austin",United States,0
Jackson State University,United States,0
Jacobs Foundation,Switzerland,1
Jacobs University,Germany,1
Jacques und Gloria Gossweiler-Stiftung,Switzerland,1
Jadavpur University,India,0
Jain Foundation,United States,1
Jain University,India,1
Jalmari ja Rauha Ahokkaan Säätiö,Finland,1
James B. Pendleton Charitable Trust,United States,1
"James Baird Fund, University of Cambridge",United Kingdom,0
James Cook University,Australia,0
James G. Boswell Foundation,United States,1
James Hutton Institute,United Kingdom,2
James McKeen Cattell Fund,United States,1
James S. McDonnell Foundation,United States,1
"James and Jean Culver Vision Discovery Institute, Georgia Regents University",United States,0
Jan Wallanders och Tom Hedelius Stiftelse samt Tore Browaldhs Stiftelse,Sweden,1
Jane Coffin Childs Memorial Fund for Medical Research,United States,1
Jane ja Aatos Erkon Säätiö,Finland,1
Janivo Stichting,Netherlands,1
Janssen Alzheimer Immunotherapy Research And Development,United States,1
Janssen Biotech,United States,1
Janssen Canada,Canada,1
Janssen Pharmaceuticals,United States,1
Janssen Research and Development,United States,1
Janssen Scientific Affairs,United States,1
Japan Aerospace Exploration Agency,Japan,0
Japan Agency for Marine-Earth Science and Technology,Japan,0
Japan Agency for Medical Research and Development,Japan,0
Japan Atomic Energy Agency,Japan,0
Japan Blood Products Organization,Japan,0
Japan Cardiovascular Research Foundation,Japan,0
Japan Dairy Association,Japan,0
Japan Fisheries Research and Education Agency,Japan,0
Japan Foundation for Applied Enzymology,Japan,0
Japan Health Sciences Foundation,Japan,0
Japan Heart Foundation,Japan,0
Japan International Cooperation Agency,Japan,0
Japan Organization of Occupational Health and Safety,Japan,0
Japan Prize Foundation,Japan,1
Japan Proton Accelerator Research Complex,Japan,0
Japan Racing Association,Japan,1
Japan Science Society,Japan,0
Japan Science and Technology Agency,Japan,0
Japan Science and Technology Corporation,Japan,2
Japan Society for the Promotion of Science,Japan,0
Japan Society for the Promotion of Science London,Japan,0
Japan Society of Nutrition and Food Science,Japan,0
Japan Student Services Organization,Japan,0
Japanese Circulation Society,Japan,0
Japanese Dermatological Association,Japan,0
Jascha Fonden,Denmark,1
Javna Agencija za Raziskovalno Dejavnost RS,Slovenia,0
Jawaharlal Nehru Centre for Advanced Scientific Research,India,0
Jawaharlal Nehru Memorial Fund,India,1
Jawaharlal Nehru University,India,0
Jayne Koskinas Ted Giovanis Foundation for Health and Policy,United States,1
Jazan University,Saudi Arabia,0
Jazz Pharmaceuticals,Ireland,1
Jeanssons Stiftelser,Sweden,1
Jefferson Scholars Foundation,United States,1
Jeffrey Modell Foundation,United States,1
Jenny ja Antti Wihurin Rahasto,Finland,1
Jeonbuk National University,South Korea,0
Jeremy Coller Foundation,United Kingdom,1
Jerome Foundation,United States,1
Jerome L. Greene Foundation,United States,1
Jess and Mildred Fisher Center for Familial Cancer Research,United States,0
Jess and Mildred Fisher College of Science and Mathematics,United States,0
"Jesus College, University of Cambridge",United Kingdom,0
Jet Propulsion Laboratory,United States,0
Jewish General Hospital,Canada,0
Jewish National Fund,United States,1
Jianghan University,China,0
Jiangsu Agricultural Science and Technology Innovation Fund,China,0
Jiangsu Innovation and Enterprise Group Talents Plan 2015,China,0
Jiangsu Normal University,China,0
Jiangsu Planned Projects for Postdoctoral Research Funds,China,0
Jiangsu Postdoctoral Research Foundation,China,0
Jiangsu Province Postdoctoral Science Foundation,China,0
Jiangsu Provincial Commission of Health and Family Planning,China,0
Jiangsu Provincial Department of Education,China,0
Jiangsu Science and Technology Department,China,0
Jiangsu University,China,0
Jiangsu University of Science and Technology,China,0
Jiangxi Provincial Department of Science and Technology,China,0
Jihočeská Univerzita v Českých Budějovicích,Czech Republic,0
Jikei University School of Medicine,Japan,0
Jilin Agricultural University,China,0
Jilin Scientific and Technological Development Program,China,0
Jilin University,China,0
Jinan University,China,0
Joachim Herz Stiftung,Germany,1
Joe Andruzzi Foundation,United States,1
Joe Niekro Foundation,United States,1
Johanna Quandt Stiftung,Germany,1
Johannes Gutenberg-Universität Mainz,Germany,0
Johannes und Frieda Marohn-Stiftung,Germany,1
John A. Hartford Foundation,United States,1
John Black Charitable Foundation,United States,1
John Carroll University,United States,1
John Cheek Trust,United Kingdom,1
John D. and Catherine T. MacArthur Foundation,United States,1
John Deere,United States,1
John Douglas French Alzheimer's Foundation,United States,1
John E. Fetzer Memorial Trust,United States,1
John E. Fogarty Foundation for Persons with Intellectual and Developmental Disabilities,United States,1
"John Fell Fund, University of Oxford",United Kingdom,2
John Innes Foundation,United Kingdom,1
John J. and Rebecca Moores Endowment,United States,1
John Merck Fund,United States,1
John R. Oishei Foundation,United States,1
John Randolph and Dora Haynes Foundation,United States,1
John S. Dunn Foundation,United States,1
John S. Latsis Public Benefit Foundation,Greece,1
John Simon Guggenheim Memorial Foundation,United States,1
John T. Reid Charitable Trusts,Australia,1
John Templeton Foundation,United States,1
John Tracy Clinic,United States,1
John W. Alden Trust,United States,1
John William Miller Fellowship Fund,United States,1
Johns Hopkins Bloomberg School of Public Health,United States,0
Johns Hopkins Hospital,United States,0
"Johns Hopkins Malaria Research Institute, Johns Hopkins Bloomberg School of Public Health",United States,0
Johns Hopkins University,United States,0
Johns Hopkins University Press,United States,0
Johnson Space Center,United States,0
Johnson and Johnson,United States,1
Johnson and Johnson Foundation,United States,1
Johnson and Johnson Pharmaceutical Research and Development,United States,1
Johnson and Johnson Vision Care,United States,1
Joint Fire Science Program,United States,0
Joint Fund of Astronomy,China,0
Joint Fund of the National Natural Science Foundation of China and the Karst Science Research Center of Guizhou Province,China,0
Joint Genome Institute,United States,0
Joint Institute for Computational Fundamental Science,China,0
Joint Institute for Nuclear Astrophysics - Center for the Evolution of the Elements,United States,0
Joint Institute for Nuclear Research,Russia,0
Joint Institute for the Study of the Atmosphere and Ocean,United States,2
"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense",United States,0
Joint Programming Initiative A healthy diet for a healthy life,European Union,2
Joint Programming Initiative Urban Europe,European Union,2
Joint Programming Initiative Water challenges for a changing world,European Union,2
Joint Programming Initiative on Antimicrobial Resistance,European Union,2
Joint Research Centre,European Union,0
Joint United Nations Programme on HIV/AIDS,Switzerland,0
Jonsson Comprehensive Cancer Center,United States,0
Jorck Foundation,Denmark,1
Joseph C. Monastra Foundation for Pancreatic Cancer Research,United States,1
Joseph W. Jones Ecological Research Center,United States,0
Josephine De Karman Fellowship Trust,United States,1
Joshua Frase Foundation,United States,1
Joshua Tree National Park Association,United States,0
Josiah Macy Jr. Foundation,United States,1
Joslin Diabetes Center,United States,0
José Carreras Leukämie-Stiftung,Germany,1
Jounce Therapeutics,United States,1
Jubiläumsstiftung der Schweizerischen Lebensversicherungs- und Rentenanstalt für Volksgesundheit und medizinische Forschung,Switzerland,2
Judith Reppy Institute for Peace and Conflict Studies,United States,0
Juho Vainion Säätiö,Finland,1
Julius-Maximilians-Universität Würzburg,Germany,0
Jung-Stiftung für Wissenschaft und Forschung,Germany,1
Junta Nacional de Investigação Científica e Tecnológica,Portugal,0
Junta de Andalucía,Spain,0
Junta de Castilla y León,Spain,0
Junta de Comunidades de Castilla-La Mancha,Spain,0
Junta de Extremadura,Spain,0
Jurassic Foundation,United States,1
Justus Liebig Universität Gießen,Germany,0
Juvenile Diabetes Research Foundation Australia,Australia,1
Juvenile Diabetes Research Foundation International,United States,1
Juvenile Diabetes Research Foundation United Kingdom,United Kingdom,1
Juvenile Diabetes Research Foundation United States of America,United States,1
Jyväskylän Yliopisto,Finland,0
Jürgen Manchot Stiftung,Germany,1
K&F Baxter Family Foundation,United States,1
K. Albin Johanssons Stiftelse,Sweden,1
K. C. Wong Education Foundation,Hong Kong,1
KU Leuven,Belgium,0
KWF Kankerbestrijding,Netherlands,2
Kaiser Permanente,United States,2
Kajima Foundation,Japan,1
Kanae Foundation for the Promotion of Medical Science,Japan,1
Kanazawa University,Japan,0
Kansainvälisen Liikkuvuuden ja Yhteistyön Keskus,Finland,0
Kansas Bioscience Authority,United States,0
Kansas IDeA Network of Biomedical Research Excellence,United States,0
Kansas Masonic Foundation,United States,1
Kansas NSF EPSCoR,United States,0
Kansas State University,United States,0
Kansas Turfgrass Foundation,United States,1
Kansas Wheat Commission,United States,0
Kanton Zürich,Switzerland,0
Kao Corporation,Japan,1
Kaohsiung Armed Forces General Hospital,Taiwan,0
Kaohsiung Medical University,Taiwan,0
Kaohsiung Medical University Chung-Ho Memorial Hospital,Taiwan,0
Karadeniz Teknik Üniversitesi,Turkey,0
Karl Kirchgessner Foundation,Germany,1
Karl-Franzens-Universität Graz,Austria,0
Karlsruhe House of Young Scientists,Germany,2
Karlsruhe Institute of Technology,Germany,0
"Karlsruhe School of Elementary Particle and Astroparticle Physics: Science and Technology, Karlsruhe Institute of Technology",Germany,0
Karlstads universitet,Sweden,0
Karolinska Institutet,Sweden,0
Karyopharm Therapeutics,United States,1
Kasetsart University,Thailand,0
Kasetsart University Research and Development Institute,Thailand,0
Kate Verdon Spisak Foundation for Melanoma Awareness and Research,United States,1
Kavli Foundation,United States,1
"Kavli Institute at Cornell, Cornell University",United States,0
"Kavli Institute for Cosmological Physics, University of Chicago",United States,0
"Kavli Institute for Theoretical Physics, University of California, Santa Barbara",United States,0
Kawano Masanori Memorial Public Interest Incorporated Foundation,Japan,1
Kay Kendall Leukaemia Fund,United Kingdom,1
Kazan Federal University,Russia,0
Keck Institute for Space Studies,United States,0
Keele University,United Kingdom,0
Keemilise ja Bioloogilise Füüsika Instituut,Estonia,0
Keep A Breast Foundation,United States,1
Keio University,Japan,0
Kela,Finland,0
"Kelley School of Business, Indiana University",United States,0
Kementerian Pendidikan Malaysia,Malaysia,0
Kementerian Pendidikan Nasional,Indonesia,0
Kementerian Pendidikan dan Kebudayaan,Indonesia,0
"Kementerian Riset, Teknologi dan Pendidikan Tinggi",Indonesia,0
"Kementerian Sains, Teknologi dan Inovasi",Malaysia,0
Kempe Foundation,Sweden,1
Kempestiftelserna,Sweden,1
Kennedy Memorial Trust,United Kingdom,1
Kennedy Space Center,United States,0
Kennedy Trust for Rheumatology Research,United Kingdom,1
Kennedy's Disease Association,United States,1
Kennesaw State University,United States,0
Kenneth Rainin Foundation,United States,1
Kenneth T. and Eileen L. Norris Foundation,United States,1
Kent State University,United States,0
Kentucky Agricultural Experiment Station,United States,0
Kentucky Science and Engineering Foundation,United States,1
Kentucky Spinal Cord and Head Injury Research Trust,United States,1
Kentucky Utilities Company,United States,1
Kenya Marine and Fisheries Research Institute,Kenya,0
Kenyon College,United States,1
"Kerala State Council for Science, Technology and Environment",India,0
Kettering Foundation,United States,1
Kettering Fund,United States,1
Key Clinical Research Program of Southwest Hospital,China,0
Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety,China,0
Key Laboratory for Magnetic Resonance and Multimodality Imaging of Guangdong Province,China,0
Key Laboratory of Computer Network and Information Integration,China,0
Key Laboratory of Dynamic Cognitive System of Electromagnetic Spectrum Space,China,0
"Key Laboratory of Engineering Dielectrics and Its Application (Harbin University of Science and Technology), Ministry of Education",China,0
Key Laboratory of Inorganic Functional Materials and Devices,China,0
"Key Laboratory of Low-grade Energy Utilization Technology and System, Chongqing University",China,0
"Key Laboratory of Materials Modification by Laser, Ion and Electron Beams",China,0
Key Laboratory of Meteorological Disaster,China,0
"Key Laboratory of Particle Astrophysics, Institute of High Energy Physics",China,0
"Key Laboratory of Zoological Systematics and Evolution, Chinese Academy of Sciences",China,0
Key Programme,China,0
"Key Research Program of Frontier Science, Chinese Academy of Sciences",China,0
Key Research and Development Plan of Tianjin,China,0
Key Research and Development Program of Hunan Province of China,China,0
Key Research and Development Program of Jiangxi Province,China,0
Key Research and Development Program of Ningxia,China,0
Key Research and Development Project of Hainan Province,China,0
Key Research and Development Projects of Shaanxi Province,China,0
Key Science and Technology Program of Shaanxi Province,China,0
Key State Laboratory of Superhard Materials,China,0
Key Technologies Research and Development Program,China,0
Key Technology Research and Development Program of Shandong,China,0
Keysight Technologies,United States,1
KfW Entwicklungsbank,Germany,0
Khalifa Bin Zayed Al Nahyan Foundation,United Arab Emirates,1
"Khalifa University of Science, Technology and Research",United Arab Emirates,0
Kharazmi University,Iran,0
Khon Kaen University,Thailand,0
Kiadis Pharma,Netherlands,1
Kidney Cancer Association,United States,1
Kidney Foundation of Canada,Canada,1
Kidney Research UK,United Kingdom,1
Killam Trusts,Canada,1
Kimberly-Clark,United States,1
King Abdulaziz City for Science and Technology,Saudi Arabia,0
King Abdulaziz University,Saudi Arabia,0
King Abdullah International Medical Research Center,Saudi Arabia,0
King Abdullah University of Science and Technology,Saudi Arabia,0
King Baudouin Foundation United States,United States,1
King Chulalongkorn Memorial Hospital,Thailand,0
King Fahad Medical City,Saudi Arabia,0
King Fahd University of Petroleum and Minerals,Saudi Arabia,0
King Faisal Specialist Hospital and Research Centre,Saudi Arabia,0
King Khalid University,Saudi Arabia,0
King Mongkut's Institute of Technology Ladkrabang,Thailand,0
King Mongkut's University of Technology North Bangkok,Thailand,0
King Mongkut's University of Technology Thonburi,Thailand,0
King Salman Center for Disability Research,Saudi Arabia,0
King Saud University,Saudi Arabia,0
King's College Hospital NHS Foundation Trust,United Kingdom,0
King's College London,United Kingdom,0
King's Health Partners,United Kingdom,2
King's University College,Canada,0
Kingston University,United Kingdom,0
King's College London,United Kingdom,0
Kiniksa Pharmaceuticals,United States,1
Kinship Foundation,United States,1
"Kirke-, Utdannings- og Forskningsdepartementet",Norway,0
Kirkhouse Trust,United Kingdom,1
Kirsten og Freddy Johansens Fond,Denmark,1
Kirtland Air Force Base,United States,0
Kitasato University,Japan,0
Kite Pharma,United States,1
Kiwanis Rockford,United States,1
"Klarman Cell Observatory, Broad Institute",United States,2
Klarman Family Foundation,United States,1
Klaus Tschira Stiftung,Germany,1
Kleine-Levin Syndrome Foundation,United States,1
Klima- und Energiefonds,Austria,0
Knights Templar Eye Foundation,United States,1
Knobloch Family Foundation,United States,1
Knud Højgaards Fond,Denmark,1
Knut och Alice Wallenbergs Stiftelse,Sweden,1
Kobe University,Japan,0
"Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology",United States,2
Kohlberg Foundation,United States,1
Kom op tegen Kanker,Belgium,2
"Komarov Botanical Institute, Russian Academy of Sciences",Russia,0
Komitet Badań Naukowych,Poland,0
Kommission für Technologie und Innovation,Switzerland,0
"Kommunfullmäktige, Stockholms Stad",Sweden,0
Kompetenznetz Vorhofflimmern,Germany,2
Koneen Säätiö,Finland,1
Kongelige Danske Videnskabernes Selskab,Denmark,0
Koning Boudewijnstichting,Belgium,1
Koninklijk Belgisch Instituut voor Natuurwetenschappen,Belgium,0
Koninklijk Nederlands Instituut voor Onderzoek der Zee,Netherlands,0
Koninklijke Nederlandse Akademie van Wetenschappen,Netherlands,0
Konkuk University,South Korea,0
Konsul Th C Berghs Stiftelse,Sweden,1
Konung Gustaf V:s och Drottning Victorias Frimurarestiftelse,Sweden,1
Korea Advanced Institute of Science and Technology,South Korea,0
Korea Aerospace University,South Korea,0
Korea Astronomy and Space Science Institute,South Korea,0
Korea Atomic Energy Research Institute,South Korea,0
Korea Basic Science Institute,South Korea,0
Korea Centers for Disease Control and Prevention,South Korea,0
Korea Coast Guard,South Korea,0
Korea Creative Content Agency,South Korea,0
Korea Dementia Research Center,South Korea,0
Korea Disease Control and Prevention Agency,South Korea,0
Korea Drug Development Fund,South Korea,0
Korea Electric Power Corporation,South Korea,1
Korea Electrotechnology Research Institute,South Korea,0
Korea Environmental Industry and Technology Institute,South Korea,0
Korea Evaluation Institute of Industrial Technology,South Korea,0
Korea Food and Drug Administration,South Korea,0
Korea Forest Service,South Korea,0
Korea Foundation,South Korea,1
Korea Foundation for Advanced Studies,South Korea,0
Korea Health Industry Development Institute,South Korea,0
Korea Institute for Advancement of Technology,South Korea,0
Korea Institute of Energy Research,South Korea,0
Korea Institute of Energy Technology Evaluation and Planning,South Korea,0
Korea Institute of Geoscience and Mineral Resources,South Korea,0
Korea Institute of Machinery and Materials,South Korea,0
Korea Institute of Marine Science and Technology promotion,South Korea,0
Korea Institute of Materials Science,South Korea,0
Korea Institute of Ocean Science and Technology,South Korea,0
Korea Institute of Oriental Medicine,South Korea,0
"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture and Forestry",South Korea,0
"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture, Forestry and Fisheries",South Korea,0
Korea Institute of S&T Evaluation and Planning,South Korea,0
Korea Institute of Science and Technology,South Korea,0
Korea Institute of Science and Technology Information,South Korea,0
Korea Institute of Toxicology,South Korea,0
Korea International Cooperation Agency,South Korea,0
Korea Meteorological Administration,South Korea,0
Korea National Institute of Health,South Korea,0
Korea National University of Transportation,South Korea,0
Korea Polar Research Institute,South Korea,0
Korea Research Institute of Bioscience and Biotechnology,South Korea,0
Korea Research Institute of Chemical Technology,South Korea,0
Korea Research Institute of Standards and Science,South Korea,0
Korea Resources Corporation,South Korea,1
Korea Science and Engineering Foundation,South Korea,0
Korea Semiconductor Research Consortium,South Korea,0
Korea Technology and Information Promotion Agency for SMEs,South Korea,0
Korea Toray Science Foundation,South Korea,1
Korea University,South Korea,0
Korea University Guro Hospital,South Korea,0
Korean Association of Retinal Degeneration,South Korea,1
Korean Breast Cancer Society,South Korea,1
Korean Federation of Science and Technology Societies,South Korea,0
Korle-Bu Neuroscience Foundation,Ghana,1
Kortney Rose Foundation,United States,1
Kosair Charities,United States,1
Kosciuszko Foundation,United States,1
Koshland Foundation,United States,1
Kowa Company,Japan,1
Koç Üniversitesi,Turkey,1
Krebsliga Schweiz,Switzerland,0
Kreftforeningen,Norway,0
Krell Institute,United States,0
Krembil Foundation,Canada,1
Kresge Foundation,United States,1
Kræftens Bekæmpelse,Denmark,0
Kulttuurin ja Yhteiskunnan Tutkimuksen Toimikunta,Finland,0
Kumoh National Institute of Technology,South Korea,0
Kungl. Vetenskaps- och Vitterhets-Samhället i Göteborg,Sweden,0
Kungliga Fysiografiska Sällskapet i Lund,Sweden,0
Kungliga Tekniska Högskolan,Sweden,0
"Kunming Institute of Botany, Chinese Academy of Sciences",China,0
Kuopion Yliopistollinen Sairaala,Finland,0
Kurata Memorial Hitachi Science and Technology Foundation,Japan,1
Kurita Water and Environment Foundation,Japan,1
Kurozumi Medical Foundation,Japan,1
Kuwait Foundation for the Advancement of Sciences,Kuwait,0
Kuwait Institute for Scientific Research,Kuwait,0
Kuwait University,Kuwait,0
"Kvantum-instituutti, Oulun Yliopisto",Finland,0
Kwanjeong Educational Foundation,South Korea,1
Kyoto University,Japan,0
Kyowa Hakko Kirin,Japan,1
Kyowa Kirin Pharmaceutical Development,United States,1
Kyung Hee University,South Korea,0
Kyungnam University,South Korea,0
Kyungpook National University,South Korea,0
Kyushu University,Japan,0
Kärntner Wirtschaftsförderungsfonds,Austria,0
Körber-Stiftung,Germany,1
Københavns Universitet,Denmark,0
L'Oreal USA,United States,1
LABEX iMUST,France,0
LABoratoires d'EXcellence ARCANE,France,0
LAM Foundation,United States,1
LEO Fondet,Denmark,1
LEO Pharma,Denmark,1
LEO Pharma Research Foundation,Denmark,1
LG Display,South Korea,1
LG Electronics,South Korea,1
LG Yeonam Cultural Foundation,South Korea,1
LGS Foundation,United States,1
LIFE programme,European Union,2
LOEWE Zentrum AdRIA,Germany,0
LOEWE-Zentrum für Translationale Medizin und Pharmakologie,Germany,0
LSU College of Science,United States,0
LUNGevity Foundation,United States,1
LUPUS UK,United Kingdom,1
La Jolla Pharmaceutical Company,United States,1
La Rochelle Université,France,0
La Trobe University,Australia,0
LabEx ASLAN,France,2
LabEx BRAIN,France,2
LabEx COTE,France,2
LabEx Chimie des Systèmes Complexes,France,2
LabEx DEvweCAN,France,2
LabEx GANEX,France,2
LabEx PRIMES,France,2
LabEx SERENADE,France,2
Labex,France,2
Labex Bézout,France,2
Labex CelTisPhyBio,France,2
Labex DRIIHM,France,2
Labex EMC3,France,2
Labex Ecodec,France,2
Labex Immuno-Oncology,France,2
Labex Iron,France,2
Labex OT-Med,France,2
Labex UnivEarthS,France,2
Laboratoire Systèmes et Ingénierie de Paris-Saclay,France,2
Laboratoire d'Excellence Dynamiques Territoriales et Spatiales,France,2
Laboratoire d'Excellence Ecofect,France,2
Laboratoire d'Excellence EpiGenMed,France,2
Laboratoire d'Excellence INRT,France,2
Laboratoire d'Excellence Inflamex,France,2
Laboratoire d'Excellence SEAM,France,2
Laboratoire d'Excellence TULIP,France,2
Laboratoire d'Excellence en Recherche sur le Médicament et l'Innovation Thérapeutique,France,2
Laboratoire d'Astrophysique de Marseille,France,0
Laboratoire d'excellence Physique Atomes Lumière Matière,France,2
Laboratoires d'excellence Nanostructures en Interaction avec leur Environnement,France,2
Laboratori Nazionali del Gran Sasso,Italy,0
Laboratory Computing Resource Center,United States,0
Laboratory Directed Research and Development,United States,0
Laboratório Nacional de Luz Síncrotron,Brazil,0
Laboratório Nacional de Nanotecnologia,Brazil,0
"Lady Davis Fellowship Trust, Hebrew University of Jerusalem",Israel,2
Lady Davis Institute for Medical Research,Canada,2
Lady Tata Memorial Trust,United Kingdom,1
Laerdal Foundation for Acute Medicine,Norway,1
Lahore University of Management Sciences,Pakistan,1
Lallemand,Canada,1
Lalor Foundation,United States,1
Lam Research,United States,1
"Lamont-Doherty Earth Observatory, Columbia University",United States,0
Lancaster University,United Kingdom,0
Lance Armstrong Foundation,United States,1
Landelijke Stichting voor Blinden en Slechtzienden,Netherlands,1
Landes Tirols,Austria,0
Landsteiner Foundation for Blood Transfusion Research,Netherlands,1
Landstinget i Värmland,Sweden,0
Landsvirkjun,Iceland,0
Langley Research Center,United States,0
Lantheus Medical Imaging,United States,1
Lanxess,Germany,1
Lanzhou City University,China,0
Lanzhou University,China,0
Lanzhou University of Technology,China,0
Larry L. Hillblom Foundation,United States,1
Laserlab-Europe,European Union,2
Lasker Foundation,United States,1
Lastentautien Tutkimussäätiö,Finland,1
Latin American Network for Research on Bioactive Natural Compounds,Brazil,2
Latvijas Zinātnes Padome,Latvia,0
Laura and John Arnold Foundation,United States,1
Laureate Education,United States,1
Lauri Strauss Leukemia Foundation,United States,1
Lawrence Berkeley National Laboratory,United States,0
Lawrence Foundation,United States,1
Lawrence Livermore National Laboratory,United States,0
Lawson Health Research Institute,Canada,2
Le Mans Université,France,0
Leading Edge Endowment Fund,Canada,1
Leakey Foundation,United States,1
Leaky Foundation,United States,1
"Lebedev Physical Institute, Russian Academy of Sciences",nan,0
Lee Foundation,nan,1
Lee Hysan Foundation,nan,1
"Lee Kong Chian School of Medicine, Nanyang Technological University",nan,1
Leeds Biomedical Research Centre,nan,2
Legacy Heritage Fund,nan,1
Legend Biotech,nan,1
Legislative-Citizen Commission on Minnesota Resources,nan,0
Lehigh University,nan,1
Leibniz ScienceCampus EEGA,nan,2
Leibniz-Gemeinschaft,nan,2
Leibniz-Institut für Astrophysik Potsdam,nan,2
Leibniz-Institut für Bildungsverläufe,nan,2
Leibniz-Institut für Gewässerökologie und Binnenfischerei,nan,0
Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie – Hans-Knöll-Institut,nan,0
Leibniz-Institut für Troposphärenforschung,nan,0
Leibniz-Institut für Zoo- und Wildtierforschung,nan,0
Leibniz-Rechenzentrum,nan,0
Leibniz-Zentrum für Marine Tropenforschung,nan,0
Leids Universitair Medisch Centrum,nan,0
Leir Foundation,nan,1
Lembaga Ilmu Pengetahuan Indonesia,nan,0
Lembaga Pengelola Dana Pendidikan,nan,0
Leon Levy Foundation,nan,1
Leon Lowenstein Foundation,nan,1
Leona M. and Harry B. Helmsley Charitable Trust,nan,1
Leonard M. Miller School of Medicine,nan,0
"Leonard M. Miller School of Medicine, University of Miami",nan,0
Leonard X. Bosack and Bette M. Kruger Charitable Foundation,nan,1
